gene_id,B_111_readcount,B_CON_readcount,log2FoldChange,pval,padj
Cluster-15354.86851,27.58629489,625.9793834,-4.5041,2.38E-27,4.94E-22
Cluster-15354.77834,141.8039011,1894.681692,-3.74,5.20E-27,5.39E-22
Cluster-15354.103410,175.9711539,0,Inf,6.61E-23,3.43E-18
Cluster-15354.83741,425.7275948,2.34208793,7.506,4.96E-23,3.43E-18
Cluster-15354.18453,168.4869342,0,Inf,1.59E-22,6.59E-18
Cluster-15354.135436,0,100.1952139,#NAME?,1.27E-18,4.40E-14
Cluster-15354.44072,0.24561447,96.257258,-8.6144,5.38E-17,1.59E-12
Cluster-15354.51991,0,84.68065373,#NAME?,2.75E-16,7.14E-12
Cluster-15354.72287,0,152.3698218,#NAME?,3.69E-16,8.51E-12
Cluster-15354.5770,28.01483104,349.8120094,-3.6423,4.11E-16,8.53E-12
Cluster-15354.32438,108.1971456,910.1311522,-3.0724,7.66E-16,1.45E-11
Cluster-15354.150048,43.73805947,428.7313981,-3.2931,2.56E-15,4.42E-11
Cluster-15354.56117,94.85751445,714.0147044,-2.9121,5.74E-15,9.16E-11
Cluster-15354.82957,612.3936724,78.42733772,2.965,9.66E-15,1.43E-10
Cluster-15354.80028,4246.355375,761.5247492,2.4793,1.42E-14,1.96E-10
Cluster-15354.87087,95.49267376,0,Inf,1.74E-14,2.25E-10
Cluster-15354.77820,58.48982401,628.5411347,-3.4257,3.03E-14,3.49E-10
Cluster-15354.82317,1192.473018,185.9023966,2.6813,2.98E-14,3.49E-10
Cluster-15354.89267,771.9454019,113.4927764,2.7659,3.65E-14,3.99E-10
Cluster-15354.129570,0,70.20128317,#NAME?,3.87E-14,4.01E-10
Cluster-15354.47145,600.8551127,3244.877079,-2.4331,5.29E-14,5.09E-10
Cluster-15354.77817,45.63455169,407.5818279,-3.1589,5.40E-14,5.09E-10
Cluster-15354.122769,45.19298843,388.1071096,-3.1023,1.44E-13,1.21E-09
Cluster-15354.134930,340.9878644,2540.75325,-2.8975,1.46E-13,1.21E-09
Cluster-15354.37266,315.8376773,29.57202127,3.4169,1.35E-13,1.21E-09
Cluster-15354.126509,0,154.230529,#NAME?,1.67E-13,1.33E-09
Cluster-15354.88132,580.3791512,3075.659392,-2.4058,1.76E-13,1.35E-09
Cluster-15354.42734,23.3093287,277.6703182,-3.5744,4.08E-13,3.02E-09
Cluster-15354.73058,0,63.64698087,#NAME?,5.81E-13,4.16E-09
Cluster-15354.63552,132.3846165,0,Inf,7.80E-13,5.39E-09
Cluster-15354.135847,368.5264287,36.94641517,3.3183,2.26E-12,1.51E-08
Cluster-15354.145366,37.49155365,341.4290565,-3.1869,3.53E-12,2.29E-08
Cluster-15354.121596,0,57.95936609,#NAME?,3.76E-12,2.37E-08
Cluster-15354.26780,0,74.99516398,#NAME?,6.41E-12,3.86E-08
Cluster-15354.82322,3556.594293,614.7254674,2.5325,6.51E-12,3.86E-08
Cluster-15354.37264,267.5685765,29.93387469,3.1601,2.00E-11,1.15E-07
Cluster-15354.82468,1818.835218,307.0644929,2.5664,2.07E-11,1.16E-07
Cluster-15354.50433,1561.54908,286.4147564,2.4468,2.40E-11,1.31E-07
Cluster-15354.78815,0,83.59845727,#NAME?,2.47E-11,1.31E-07
Cluster-15354.80933,372.2158597,1693.047383,-2.1854,2.65E-11,1.38E-07
Cluster-15354.115961,69.74590079,0,Inf,2.74E-11,1.39E-07
Cluster-15354.86852,2019.06876,354.8956233,2.5082,3.39E-11,1.67E-07
Cluster-15354.94800,104.4249356,574.6290342,-2.4602,5.44E-11,2.63E-07
Cluster-15354.94802,402.3527364,1742.237519,-2.1144,6.93E-11,3.27E-07
Cluster-15354.95886,45.590879,332.6899997,-2.8674,8.23E-11,3.80E-07
Cluster-15354.25623,5.891886033,151.6466026,-4.6858,8.62E-11,3.89E-07
Cluster-34796.3,23.04870309,255.7139398,-3.4718,9.26E-11,4.09E-07
Cluster-15354.58071,172.9880272,821.1210482,-2.2469,1.14E-10,4.93E-07
Cluster-15354.104976,87.60721035,504.911597,-2.5269,1.17E-10,4.93E-07
Cluster-15354.80568,22.33501181,205.7595087,-3.2036,1.27E-10,5.29E-07
Cluster-15354.129408,0,47.78128521,#NAME?,2.04E-10,8.30E-07
Cluster-15354.92830,0,76.54505767,#NAME?,2.20E-10,8.80E-07
Cluster-15354.107485,0,103.3438886,#NAME?,2.36E-10,9.23E-07
Cluster-15354.55216,994.3330732,4141.798148,-2.0585,2.40E-10,9.23E-07
Cluster-15354.18900,0,47.04044656,#NAME?,2.53E-10,9.56E-07
Cluster-15354.27157,252.9225792,1611.720465,-2.6718,2.95E-10,1.09E-06
Cluster-15354.135195,155.3081471,734.6458989,-2.2419,3.18E-10,1.16E-06
Cluster-15354.91004,310.1211379,45.77777118,2.7601,3.31E-10,1.18E-06
Cluster-15354.39386,0,51.89617457,#NAME?,3.65E-10,1.28E-06
Cluster-15354.108825,60.74428909,0,Inf,3.84E-10,1.30E-06
Cluster-15354.150737,30.74656338,238.9729406,-2.9584,3.85E-10,1.30E-06
Cluster-15354.43585,0,100.5478744,#NAME?,3.87E-10,1.30E-06
Cluster-15354.74477,529.3836557,2615.570125,-2.3047,4.05E-10,1.33E-06
Cluster-15354.78460,253.3275613,34.27647128,2.8857,5.56E-10,1.80E-06
Cluster-15354.101936,185.5723848,18.22132525,3.3483,6.12E-10,1.95E-06
Cluster-15354.56133,0,44.36108343,#NAME?,7.39E-10,2.32E-06
Cluster-15354.44073,94.28809808,0,Inf,8.54E-10,2.65E-06
Cluster-15354.85354,1756.853403,441.9929029,1.9909,8.85E-10,2.70E-06
Cluster-15354.47671,0,99.8266358,#NAME?,9.28E-10,2.79E-06
Cluster-15354.144856,5.67228494,100.3815219,-4.1454,9.88E-10,2.93E-06
Cluster-15354.135850,79.95974565,1.777690269,5.4912,1.31E-09,3.82E-06
Cluster-15354.85260,175.3365356,1049.188785,-2.5811,1.65E-09,4.77E-06
Cluster-15354.140187,0,42.13704245,#NAME?,1.82E-09,5.18E-06
Cluster-15354.122773,42.88764424,272.2244846,-2.6662,2.04E-09,5.71E-06
Cluster-15354.128316,572.6721422,121.1848853,2.2405,2.46E-09,6.71E-06
Cluster-15354.95038,9.055999521,117.4250324,-3.6967,2.46E-09,6.71E-06
Cluster-15354.85472,581.0890382,2192.708542,-1.9159,2.96E-09,7.97E-06
Cluster-15354.80589,136.5243668,5.467353978,4.6422,4.68E-09,1.24E-05
Cluster-15354.127358,145.1286289,621.0167217,-2.0973,4.98E-09,1.31E-05
Cluster-15354.140843,5.894747278,100.1601392,-4.0867,6.83E-09,1.77E-05
Cluster-15354.117355,218.5522453,33.74557861,2.6952,7.27E-09,1.86E-05
Cluster-32018.0,25.21699539,189.5668605,-2.9102,8.04E-09,2.04E-05
Cluster-15354.26407,0,50.96709976,#NAME?,8.54E-09,2.14E-05
Cluster-15354.113780,65.07736497,339.2042618,-2.3819,9.39E-09,2.19E-05
Cluster-15354.139857,3.545623865,159.3564407,-5.4901,9.20E-09,2.19E-05
Cluster-15354.55215,8.545742214,128.0271325,-3.9051,9.35E-09,2.19E-05
Cluster-15354.71124,28.56265324,198.8837643,-2.7997,9.38E-09,2.19E-05
Cluster-15354.80644,250.2512443,964.7102956,-1.9467,9.37E-09,2.19E-05
Cluster-15354.84882,1538.723002,5768.058386,-1.9064,9.18E-09,2.19E-05
Cluster-15354.105371,245.5951695,38.59412634,2.6698,1.01E-08,2.32E-05
Cluster-15354.22048,0,37.49951013,#NAME?,1.04E-08,2.38E-05
Cluster-15354.66312,349.9562972,66.48340642,2.3961,1.08E-08,2.44E-05
Cluster-15354.82309,1398.658015,354.9895748,1.9782,1.18E-08,2.64E-05
Cluster-15354.140242,93.99424435,5.467353978,4.1037,1.22E-08,2.67E-05
Cluster-15354.15127,99.57456004,457.3585513,-2.1995,1.21E-08,2.67E-05
Cluster-15354.93541,480.6344755,3621.703302,-2.9137,1.25E-08,2.70E-05
Cluster-42367.2,1.964915759,61.66468125,-4.9719,1.34E-08,2.86E-05
Cluster-15354.70324,52.26724093,293.3118521,-2.4885,1.40E-08,2.97E-05
Cluster-15354.127491,72.35410852,361.0984298,-2.3192,1.50E-08,3.15E-05
Cluster-15354.69674,0,36.53688565,#NAME?,1.53E-08,3.18E-05
Cluster-15354.1729,91.23770372,428.1495977,-2.2304,1.71E-08,3.50E-05
Cluster-15354.118953,0,42.67148058,#NAME?,1.82E-08,3.63E-05
Cluster-15354.62200,668.5968525,166.7133842,2.0038,1.82E-08,3.63E-05
Cluster-15354.62496,166.1467881,20.35912245,3.0287,1.81E-08,3.63E-05
Cluster-15354.3746,2.174121322,65.50275456,-4.9131,1.90E-08,3.76E-05
Cluster-15354.57859,1456.244954,5135.20704,-1.8182,2.09E-08,4.09E-05
Cluster-15354.85002,0,55.15868449,#NAME?,2.11E-08,4.10E-05
Cluster-15354.97748,1337.145401,293.788105,2.1863,2.32E-08,4.45E-05
Cluster-15354.151253,16.42508943,139.9741983,-3.0912,3.22E-08,6.12E-05
Cluster-15354.72560,0,34.63729215,#NAME?,3.30E-08,6.22E-05
Cluster-15354.98748,250.3558961,920.1457597,-1.8779,3.35E-08,6.26E-05
Cluster-15354.97991,692.7420368,48.02701982,3.8504,3.65E-08,6.76E-05
Cluster-41318.0,45.68014271,0,Inf,3.89E-08,7.15E-05
Cluster-15354.25622,12.24667566,339.4252685,-4.7926,4.05E-08,7.37E-05
Cluster-15354.127493,174.1701148,765.2666641,-2.1355,4.11E-08,7.40E-05
Cluster-15354.148382,65.54635975,0,Inf,4.14E-08,7.40E-05
Cluster-15354.94407,37.6891586,266.5252641,-2.8221,4.27E-08,7.57E-05
Cluster-15354.46582,66.107988,327.4431407,-2.3083,4.70E-08,8.26E-05
