Gene_id,readcount_S_653,readcount_S_CON,log2FoldChange,pval,padj,Gene description,Gene name
EPlSTUG00000000555,6449.11453,10742.1599,-0.73611,0.0006041,0.018239,-//-,
EPlSTUG00000001749,12.58195831,58.70472529,-2.2221,0.00068522,0.020048,-//-,
EPlSTUG00000003166,1323.609283,2296.994573,-0.79527,0.0005165,0.016174,-//-,
EPlSTUG00000004892,108.4644328,43.54189525,1.3167,0.0001574,0.0067992,-//-,
Novel00009,42.72052152,98.96180103,-1.2119,0.00050089,0.015876,--,PREDICTED: uncharacterized protein LOC104649647 isoform X1 [Solanum lycopersicum]
Novel00018,237.6110521,122.5192997,0.95559,0.00063242,0.018808,--,PREDICTED: uncharacterized protein LOC101259565 [Solanum lycopersicum]
Novel00021,10.45131845,39.35112644,-1.9127,0.0002942,0.010732,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Solanum lycopersicum]
Novel00024,44.25019814,139.6328715,-1.6579,3.91E-07,5.23E-05,--,PREDICTED: TMV resistance protein N-like isoform X1 [Solanum tuberosum]>gi|565403452|ref|XP_006367173.1| PREDICTED: TMV resistance protein N-like isoform X2 [Solanum tuberosum]>gi|565403454|ref|XP_006367174.1| PREDICTED: TMV resistance protein N-like isoform X3 [Solanum tuberosum]>gi|565403456|ref|XP_006367175.1| PREDICTED: TMV resistance protein N-like isoform X4 [Solanum tuberosum]>gi|565403458|ref|XP_006367176.1| PREDICTED: TMV resistance protein N-like isoform X5 [Solanum tuberosum]>gi|565403460|ref|XP_006367177.1| PREDICTED: TMV resistance protein N-like isoform X6 [Solanum tuberosum]
Novel00027,12.62524461,47.31349187,-1.9059,0.00011908,0.0054538,--,PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
Novel00053,15.19521688,58.36438571,-1.9415,0.00035582,0.012441,--,PREDICTED: peroxidase N-like [Solanum lycopersicum]
Novel00064,178.2089389,451.3634096,-1.3407,0.00048251,0.015435,--,"PREDICTED: uncharacterized protein LOC102600694, partial [Solanum tuberosum]"
Novel00074,880.851679,439.7346722,1.0023,0.0019449,0.042509,--,60S ribosomal protein L10 [Solanum lycopersicum]>gi|68449756|gb|AAY97865.1| 60S ribosomal protein L10 [Solanum lycopersicum]
Novel00078,40.2537557,164.703987,-2.0327,1.62E-10,6.32E-08,--,PREDICTED: BURP domain-containing protein 17-like [Solanum tuberosum]
Novel00113,173.1908293,474.8694548,-1.4552,1.34E-08,2.81E-06,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Solanum lycopersicum]
Novel00114,15.16495613,46.26578115,-1.6092,0.0021105,0.044875,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Solanum lycopersicum]
Novel00141,27.42017634,85.73090284,-1.6446,1.92E-05,0.0012464,--,PREDICTED: acetylajmalan esterase [Solanum lycopersicum]
Novel00164,45.69286201,159.1812295,-1.8006,2.20E-07,3.19E-05,--,PREDICTED: uncharacterized protein LOC102597311 isoform X4 [Solanum tuberosum]
